Unnamed: 0,French,English
0,partie,part
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
21,longtemps,long time
22,heures,hours
23,vont,will
24,aucune,any
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
30,voici,here is
31,pourrais,could
32,affaire,case
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,yeux,eyes
38,façon,way
39,écoute,listen
40,dont,whose
41,trouve,find
42,perdu,lost
43,main,hand
44,première,first
45,côté,side
46,pouvoir,power
47,vieux,old
48,sois,be
49,tiens,here
50,matin,morning
51,tellement,so much
54,venu,came
55,suite,after
56,pardon,sorry
57,venez,come
59,vers,towards
61,demandé,request
62,chambre,bedroom
63,mis,placed
64,belle,beautiful
65,droit,law
66,aimerais,would like to
67,aujourd'hui,today
68,mari,husband
69,cause,cause
70,enfin,finally
71,eau,water
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,terre,Earth
78,donne,given
81,croire,believe
83,gros,large
85,aura,will have
86,jouer,to play
87,bureau,office
